2026-04-14 11:48:13,527 | subshell-5ec17949-a89e-42d3-bec3-16ca8e888fa6 | [ERROR   ] | on_click_plotter_reset|: Plotter is not running
2026-04-14 11:48:25,453 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-14 11:51:47,290 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2026-04-14 11:51:47,291 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-14 11:51:51,856 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 11:51:52,469 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:06:11,452 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-14 12:06:11,453 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2026-04-14 12:06:14,210 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:06:14,829 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:12:17,897 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:12:18,506 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-14 12:12:52,303 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-14 12:12:54,933 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:12:55,548 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:17:39,642 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-14 12:17:47,515 | subshell-02c42c3c-061f-4b77-aaa8-1681183f5432 | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:17:49,539 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:17:49,544 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-14 12:18:28,794 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-14 12:18:30,950 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:18:31,564 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:21:24,848 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-04-14 12:21:27,000 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:21:27,605 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-04-14 12:21:45,663 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-14 12:21:45,664 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-14 12:21:51,181 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:21:51,796 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:24:23,953 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2026-04-14 12:24:23,954 | MainThread   | [ERROR   ] | stop                |: Plotter is not running
2026-04-14 12:24:34,038 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2026-04-14 12:24:34,654 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-04-14 12:30:53,206 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
