2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 11:49:42,642 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 11:51:47,291 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 11:51:47,291 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 11:51:52,641 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 11:52:05,089 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 11:52:47,136 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 11:56:00,160 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 11:56:00,609 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 11:56:01,041 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 11:56:01,925 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-14 11:56:02,762 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-14 11:56:08,826 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-14 11:56:09,486 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-14 11:56:30,726 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 11:56:31,169 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 11:57:30,156 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 11:58:28,813 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 11:58:29,352 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 11:58:29,936 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 11:58:30,568 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-14 11:58:31,675 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2026-04-14 11:58:32,138 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-14 11:58:37,951 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-14 11:58:38,455 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-14 11:58:48,223 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-14 11:58:48,736 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-14 11:59:45,813 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:02:04,023 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2026-04-14 12:02:06,045 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-14 12:02:07,400 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:03:26,703 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:03:28,095 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-14 12:03:35,042 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-14 12:03:35,959 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2026-04-14 12:03:36,440 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-14 12:03:36,967 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2026-04-14 12:04:06,387 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2026-04-14 12:04:07,009 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-14 12:04:08,397 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-14 12:05:23,381 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2026-04-14 12:05:50,843 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2026-04-14 12:06:11,453 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-14 12:06:11,453 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:06:15,006 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:06:28,642 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.12.10 (v3.12.10:0cc81280367, Apr  8 2025, 08:46:59) [Clang 13.0.0 (clang-1300.0.29.30)]
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-14 12:08:35,191 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-14 12:08:55,899 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:11:26,851 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-14 12:11:30,019 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2026-04-14 12:12:00,542 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
