2026-03-09 21:09:06,524 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:c4:22:a9:64, service UUID: 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:09:16,553 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:09:16,555 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 916E591F-7011-B7AC-55D0-A23622AFF175 (name: Artemis BLE)
2026-03-09 21:09:17,371 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:c4:22:a9:64
2026-03-09 21:22:53,136 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:c4:22:a9:64
2026-03-09 21:22:53,137 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:c4:22:a9:64, service UUID: 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:23:03,180 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:23:03,183 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 916E591F-7011-B7AC-55D0-A23622AFF175 (name: Artemis BLE)
2026-03-09 21:23:04,268 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:c4:22:a9:64
2026-03-09 21:26:24,674 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:c4:22:a9:64
2026-03-09 21:26:24,675 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:c4:22:a9:64, service UUID: 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:26:34,703 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:26:34,705 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 916E591F-7011-B7AC-55D0-A23622AFF175 (name: Artemis BLE)
2026-03-09 21:26:35,587 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:c4:22:a9:64
2026-03-09 21:43:54,899 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:c4:22:a9:64
2026-03-09 21:43:54,900 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:c4:22:a9:64, service UUID: 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:44:04,928 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 21:44:04,928 | MainThread   | [INFO    ] | _get_ble_device     |: Selecting device: 916E591F-7011-B7AC-55D0-A23622AFF175 (name: Artemis BLE)
2026-03-09 21:44:05,816 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:c4:22:a9:64
2026-03-09 22:04:54,624 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:c4:22:a9:64
2026-03-09 22:04:54,625 | MainThread   | [INFO    ] | _get_ble_device     |: Scanning for device with address: c0:81:c4:22:a9:64, service UUID: 789d254e-2393-4828-b10b-3952b9ca360b
2026-03-09 22:05:04,654 | MainThread   | [INFO    ] | _get_ble_device     |: Found 1 device(s) advertising service 789d254e-2393-4828-b10b-3952b9ca360b
